Comment,Designator,Footprint,LCSC
USBLC6-4,"U1,U13",SOT-23-6,C111212
10n,"C14,C16,C18,C20,C26,C28,C30,C32",C_0402,C15195
100n,"C1,C10,C11,C12,C13,C15,C17,C19,C2,C24,C3,C4,C5,C7",C_0402,C1525
AP2204R-3.3,U2,SOT-89-3,C156303
1uF,"C6,C8,C9",C_0603,C15849
USB,J1,USB-C 16Pin,C165948
SCPI_CSV,SW1,SW_SPDT_PCM12,C221841
RED,"D1,D3,D5,D7,D9",LED_0603_1608Metric,C2286
220,"R10,R11,R13,R14,R18,R19,R20,R21,R22,R23,R24,R25,R26,R4,R5,R57,R58,R59,R7,R8",R_0402,C25091
10,"R12,R15,R6,R9",R_0402,C25123
5k1,"R1,R16,R17,R2,R27,R28,R3",R_0402,C25905
MAX31855KASA,"U4,U5,U6,U7",SOIC-8_3.9x4.9mm_P1.27mm,C52028
BC817,"Q2,Q4,Q6",SOT-23,C52801
BLUE,D11,LED_0603_1608Metric,C72041
GREEN,"D10,D12,D13,D14,D2,D4,D6,D8",LED_0603_1608Metric,C72043
STM32F072C8Tx,U3,LQFP-48_7x7mm_P0.5mm,C80488
2N7002,"Q1,Q3,Q5",SOT-23,C8545
FERRET,"FB1,FB2,FB3,FB4,FB5,FB6,FB7,FB8",L_0402,C87551
THERMOCOUPLE,J2,PCC-SMP,
THERMOCOUPLE,J3,PCC-SMP,
THERMOCOUPLE,J4,PCC-SMP,
THERMOCOUPLE,J5,PCC-SMP,
OUT,J6,"PhoenixContact_MC_1,5_6-G-3.5_1x06_P3.50mm_Horizontal",
I2C,J7,"PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal",
DNP,J8,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",
DNP,J9,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",
DNP,J10,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",
DNP,J11,"PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",
NTC,TH1,R_0603,
TLV9001,U9,SOT-23-5,
TLV9001,U10,SOT-23-5,
TLV9001,U11,SOT-23-5,
DRV8837,U8,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,
TLV9001,U12,SOT-23-5,
DFU,JP1,R_0805,
